,Text
0,Ok trong tầm giá
1,"Máy dùng oke,mỗi tội chưa có chuột.."
2,Máy tốt nhỏ gọn
3,Tốt trong tầm giá
4,đã được hỗ trợ các phím sử dụng bình thường. cám ơn ạ
5,Rất hài lòng
6,Máy tốt rất phù hợp
8,Chăm sóc KH chu đáo
11,laptop rất tốt
12,Máy ổn trong tầm giá.  Sẽ ủng hộ tiếp.
13,"xài okie, máy load hơi chậm nhưng phù hợp cấu hình, phù hợp giá tiền"
14,"Sản phẩm rất tốt , nv nhiệt tình"
15,Sản phẩm tốt
16,Sử dụng rất ok
17,Máy này ssd 128 hay 256gb vậy a.thấy bên nguyễnkim cùng sản phẩm mà ssd 256gb?
18,Chỉ dùng cho bé sem phim . chứ chạy rất chạm . màu sắc không sáng . N
19,"Sản phẩm dùng rất ok. Kiểu dáng nhỏ gọn, tặng balo để mang đi khắp nơi. Nhưng không biết có bán lẽ balo không, nếu có sẽ mua thêm 1 cái"
21,Rất hài lòng!
22,"Mua để sử dụng office, nhưng khi sử dụng bị nhiêu, màn hình, chớp tắt và nhiều lúc tắt luôn màn hình"
23,Máy lúc đầu sử dụng rất tốt dùng đc nửa tháng báo lỗi không đăng nhập được hồ sơ người dùng và phần sitting của máy giờ bị vô hiệu hóa
25,"Tôi mua máy laptop cho cháu hs tiểu học. Sau vài hôm sd, máy có trục trặc nhỏ tôi mang đến shop và đc nv sửa ngay. Từ đó đến nay máy hđ tốt. Cám ơn shop nhiều!"
26,Cảm ơn quý khách đã tin yêu và sử dụng sản phẩm và dịch vụ của DMX ạ
27,Bình thường
28,"mới mua sài thấy ok. nhưng phím nhấn phím @ thì lại ra kí tự này "" và ngược lại. ko biết có thể đổi ko"
29,"Dạ chào anh/chị,cảm ơn anh/chị đã tin dùng sản phẩm của bên em.Rất mong được phục vụ anh/chị ở những lần sau ạ. "
31,Trên cả tuyệt vời
33,"Sản phẩm tốt, giao hàng tốt"
34,"Máy quá chậm, gõ word cũng ko chạy nổi"
35,Hệ điều hành chạy còn hơi chậm ạ!
39,Cho mình hỏi là máy này học online trên MS. TEAM có được ko ạ?
40,"Bạn ơi, máy dùng làm văn phòng được không ạ ?"
41,Tôi hài lòng với sản phẩm !
43,Cổng sạc quá lỏng ko thể sạc pin
45,"Sản phẩm sử dụng tốt cho học tập, loa hơi nhỏ"
47,"Sản phẩm ok. Thích hợp cho các cháu học online, hạn chế chơi game do cấu hình thấp. Đỡ phải quản lý. Có 1 cái hơi khó chịu là không dùng được mic ngoài"
48,Nhân viên nhiệt tình.giá cả phải chăng
50,Xin cái đánh giá với bạn ơi
51,"Sản phẩm đẹp, nhân viên phục vụ nhiệt tình🥰"
53,Cho e hỏi máy này chơi game liên minh được ko ah
55,"Dạ chào chị,cảm ơn chị đã tin dùng sản phẩm của bên em.Rất mong được phục vụ chị ở những lần sau ạ. "
57,Tuy chạy hơi chậm nhưng Sản phẩm dùng ổn
59,cho em hỏi máy sạc bao lâu thì từ 1 phần trăm lên 100% ạ
60,Ko dùng được mic ngoài là sao ạ? Sd mic cắm vào ko đc hả bạn
61,"Hình như mình mua phải hàng trưng bày, lúc tay nhân viên sang bên TTDĐ  cầm máy sang đã thấy hộp máy đã bị bóc, hỏi nhân viên thì bảo là mới, hi vọng là mới !"
64,Sản phẩm nói chung là sài tạp được nhưng chưa được xuất sắc
66,"Dạ Cảm ơn anh, chị đã tin tưởng sử dụng dịch vụ bên em ạ. Chúc Anh, Chị có một ngày tốt lành ạ. "
67,Máy chạy hơi chậm
68,"bạn dùng máy này thấy thế nào hả bạn ??? ví dụ dùng các ứng dụng office và xem phim có được không bạn ơi,"
69,"Em mới mua sp này nhưng nó chậm quá mở máy lên chờ rất lâu 
Em muốn lên đời sản phẩm không biết được không ạ"
70,Cho em hỏi Con máy này nặn tài xỉu được không ạ
72,Loa hơi nhỏ
73,Sản phẩm  rất tốt  . Nhân viên  giao hàng  rất nhiệt huyết  tư vấn  và  chăm sóc khách hàng .
75,Máy chạy rất chậm. Sài word;excel hay bị lag đứng máy. Trải nghiệm không tốt
85,Máy này đánh liên minh huyền thoại được không
94,Quản lý nhiệt tình tư vấn tốt. Lần sau tôi sẽ tiếp tục mua tại thế giới di động
95,"Phục vụ tốt, nhiệt tình"
96,Rất hài lòng ạ.
97,"Máy ko check đc bảo hành trên trang chủ apple, liên hệ CSKH yêu cầu phải mang máy ra cửa hàng hỗ trợ kích hoạt ngày mua trong khi máy mua tại cửa hàng 2 tháng rồi, rất mất thời gian"
98,"Sản phẩm dùng ổn, pin thực tế tầm 7 8 tiếng mac ventura. Nhân viên tư vấn và hỗ trợ rất nhiệt tình. Bảo hành apple chính hãng"
99,mới đổi lại cái mới và vẫn không check được bảo hành trên trang apple.
102,sản phẩm tốt
103,"Máy mới mua Sài mượt, trackpad ok, loa ấm rất ok.
Nhân viên tư vấn và bán hàng rất dễ thương và tận tình!"
105,"mua đc 2 tuần, đánh chữ lỗi hay bị mất chữ, wifi tự dưng mất đột ngột, trong khi điện thoại và máy tính khác bình thường, cứ vài tiếng lại mất, đi sửa 2 lần rồi"
106,"Cho mình hỏi, mac mình mới mua đc một hôm thì thử loa khi mở maximun vs âm base mạnh thì có hiện tương hơi rè rất khó chịu, máy bạn mình dùng thì ko sao"
107,"Máy mới chính hãng thì mua đâu cũng thế thôi, nhưng điểm thích nhất ở TGDd là chăm sóc khách hàng tốt, nhiệt tình, có hỗ trợ kỹ thuật support nhất là quá trình mới sử dụng"
110,"Sản phẩm chuẩn chính hãng
Thái độ phục vụ của đội ngũ tốt nhất việt nam
Sẽ luôn ủng hộ tgdd"
111,check coverage thì báo tháng 02/2023 là hết BH Apple
113,"Sài rất tốt ạ, không có thấy lỗi gì hết"
114,"Hôm nay mình vừa mua máy này rất tốt chủ yếu là phục vụ tận tình , thân thiện vs khách hàng , mình toàn mua đồ ở tgdđ 6 năm là vì cách phục vụ củ nhân viên"
115,"Dùng vài tháng đã vỡ màn hình dù không va chạm gì hết 
Gọi lên thì bảo lỗi này hãng k bảo hành
Quá chán"
116,Tất cả đều ok. Hài lòng
117,"Sản phẩm rất đẹp và dễ sử dụng, nếu dùng thử đem lại kết quả tốt sẽ ủng hộ lần nữa. Cảm ơn bạn nhiều nhé! ^^~"
119,"bạn ơi chip mới của apple m1 nó chưa tương thích với nhiều phần mềm, máy này không chuyên dùng về đồ họa nên bạn qua bản Macbook pro M1 Pro cho mình nhé"
120,Mình mới mua được gần 3 tuần nhưng phím fn thỉnh thoảng không dùng được phải reset lại máy thì mới khởi động lại bình thường
122,Mình cũng gặp tình trạng y chang bạn. Gọi cskh thì trả lời quanh quanh. Gửi bài đánh giá lên web thì không thấy hiện
123,Máy chạy tốt
124,"máy thi thoảng bị lỗi khi mình gõ trên GG Drive hoặc các trình duyệt, mình có quay clip lại nhưng ko biết gửi bằng cách nào"
125,Quá tuyệt vời
126,Mình mua hàng ở TGDD nhiều rồi. Nv lúc nào cũng nhiệt tình. Lúc mua còn đc giảm hơn 600k vì khách hàng thân thiết nữa. Máy mình dùng hiện tại chưa phát hiện ra gì. Dùng ổn áp.
127,Máy chip mới ko cài đưọc win. Xài phần mềm đồ họa ko thông dụng. Khóc cần dòng sông
129,"Máy bị lỗi một số chỗ gõ văn bản, mình cần đc hỗ trợ"
134,"Chào anh, dạ anh cần hỗ trợ gì ạ! Mong phản hồi từ anh"
141,"chào anh, dạ cảm ơn anh đã quan tâm sản phẩm bên em  "
142,Rất tốt cho nhu cầu văn phòng.
143,Máy tính của hãng lenovo dùng tốt nhg mình mình loại này màn hình hơi bé.
144,Rất chậm nv pv không tốt không biết cài đặt máy mới chán
145,"Máy tốt  , tốt cho mấy bé học tập , giá phù họp cho phụ huynh"
146,"Sản phẩm đẹp, gọn, nhẹ, lướt web văn phòng mượt. Pin khoảng 4 -5 tiếng."
147,Tốt. Nhỏ gọn. Vừa túi tiền cho em nhỏ học online. Dịch vụ tổt
150,"tốt, chạy mượt"
151,"Tôi rất hài lòng.chỉ phím chuột kích
 hơi nặng"
152,Cơ bản ok.xài thời gian nữa xem sao
153,Dùng máy nóng nhanh quá
154,"Tôi mới dùng được mấy hôm,cho đến hôm nay thấy tốt không có vấn đề gì.Cảm ơn nhan viên giao nhận của TGDD rất nhiệt tình,tôi danh giá 5 sao cho nhân viên của TGDD ."
155,Cấu hình chậm . Mình mua veè Chỉ. Để. lm việc vp. Nên như vậy cũng dc . Tạm
156,Mày hoi cham cho ba.lô rởm quá
157,Hút wifi không mạnh lắm
158,Sử dụng 1 tiếng là máy bị treo
159,"Sản phẩm dùng tốt, mượt. Nhưng dùng lâu hay nóng 2 bên"
160,"Máy dùng khá tốt, nhẹ nên mang đi dễ dàng, pin dùng cũng được tầm 3h, máy khởi động nhanh."
161,"giá như thế là ok rồi. Loa to. hình được. dùng world, pp,.. ok."
162,Máy chạy mau nóng
164,Mua giá 4.8 triệu tặng vợ. Giá hợp lý
165,"Hàng vừa tầm giá.xài ngon,lâu hơi nóng máy tẹo nhưng các bạn tư vấn,giao hàng nhiệt tình"
166,"Sản phẩm nhỏ gọn, nhẹ. Rất thích hợp đối với nhân viên văn phòng, học sinh. Nhân viên giao hàng tư vấn nhiệt tình, hỗ trợ khách hàng tận tâm."
